"SECONDS";"PID";"VALUE";"UNITS"
"36,6499871";"verbrauchte Spritmenge";"0";"l"
"36,6503436";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"36,655151";"verbrauchte Spritmenge (gesamt)";"0";"l"
"36,6556159";"Treibstoffkosten";"0";"€"
"36,6800317";"Treibstoffkosten (gesamt)";"0";"€"
"36,9722209";"Geschwindigkeit";"0";"km/h"
"36,9736746";"zurückgelegte Strecke";"0";"km"
"36,9742073";"Fahrzeugbeschleunigung";"0";"m_sec2"
"36,9762524";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"36,9766941";"Durchschnittsgeschwindigkeit";"0";"km/h"
"36,9770085";"zurückgelegte Strecke (gesamt)";"0";"km"
"37,2147167";"Kühlmitteltemperatur";"60";"℃"
"37,4504227";"Motordrehzahl";"876";"rpm"
"37,4510272";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"37,4522267";"verbrauchte Spritmenge";"0";"l"
"37,4523535";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"37,4542104";"verbrauchte Spritmenge (gesamt)";"0";"l"
"37,4543388";"Treibstoffkosten";"0";"€"
"37,4745372";"Treibstoffkosten (gesamt)";"0";"€"
"37,6821126";"Geschwindigkeit";"0";"km/h"
"37,6827704";"zurückgelegte Strecke";"0";"km"
"37,6828962";"Fahrzeugbeschleunigung";"0";"m_sec2"
"37,6836386";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"37,6841154";"Durchschnittsgeschwindigkeit";"0";"km/h"
"37,6842913";"zurückgelegte Strecke (gesamt)";"0";"km"
"37,9151792";"Kühlmitteltemperatur";"61";"℃"
"38,1544256";"Motordrehzahl";"869";"rpm"
"38,1555945";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"38,1588695";"verbrauchte Spritmenge";"0";"l"
"38,1592934";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"38,1635518";"verbrauchte Spritmenge (gesamt)";"0";"l"
"38,1638658";"Treibstoffkosten";"0";"€"
"38,1834189";"Treibstoffkosten (gesamt)";"0";"€"
"38,37502";"Geschwindigkeit";"0";"km/h"
"38,3764957";"zurückgelegte Strecke";"0";"km"
"38,3772231";"Fahrzeugbeschleunigung";"0";"m_sec2"
"38,3795195";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"38,380467";"Durchschnittsgeschwindigkeit";"0";"km/h"
"38,3809957";"zurückgelegte Strecke (gesamt)";"0";"km"
"38,6091724";"Kühlmitteltemperatur";"60";"℃"
"38,8330373";"Motordrehzahl";"867";"rpm"
"38,8342179";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"38,837201";"verbrauchte Spritmenge";"0";"l"
"38,8375206";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"38,8417296";"verbrauchte Spritmenge (gesamt)";"0";"l"
"38,8420408";"Treibstoffkosten";"0";"€"
"38,8608516";"Treibstoffkosten (gesamt)";"0";"€"
"39,0520645";"Geschwindigkeit";"0";"km/h"
"39,0538827";"zurückgelegte Strecke";"0";"km"
"39,0541355";"Fahrzeugbeschleunigung";"0";"m_sec2"
